id,common_name,scientific_name,image_url,county,freshwater,Saltwater
294,Jaguar guapote,Parachromis managuensis,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Parachromis_managuensis_2012_G1.jpg/120px-Parachromis_managuensis_2012_G1.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
295,Jewel fish,Hemichromis letourneuxi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Hemichromis_letourneauxi.jpg/120px-Hemichromis_letourneauxi.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
302,Koi,"Cyprinus rubrofuscus var. ""koi""",https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Six_koi.jpg/120px-Six_koi.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
303,Kōhaku,Cyprinus rubrofuscus var. Kōhaku,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Kohaku.jpg/120px-Kohaku.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
306,Lake chubsucker,Erimyzon sucetta,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Erimyzon_sucetta.jpg/120px-Erimyzon_sucetta.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
311,Largemouth Bass,Micropterus salmoides,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Largemouth.JPG/120px-Largemouth.JPG,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
324,Longear sunfish,Lepomis megalotis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Lepomis_megalotis2.jpg/120px-Lepomis_megalotis2.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
329,Longnose gar,Lepisosteus osseus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Longnose_gar%2C_Boston_Aquarium.JPG/120px-Longnose_gar%2C_Boston_Aquarium.JPG,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
344,Mayan cichlid,Mayaheros urophthalmus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Mayan10a.jpg/120px-Mayan10a.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
346,Mekong giant catfish,Pangasianodon gigas,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/AquatottoGifu_mekonoonamazu.jpg/120px-AquatottoGifu_mekonoonamazu.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
348,Midas cichlid,Amphilophus citrinellus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Amphilophus_citrinellus_2015_G5.jpg/120px-Amphilophus_citrinellus_2015_G5.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
355,Mozambique Tilapia,Oreochromis mossambicus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Oreochromis_mossambicus.JPG/120px-Oreochromis_mossambicus.JPG,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
356,Mummichog,Fundulus heteroclitus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Mummichog.jpg/120px-Mummichog.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
363,Neon tetra,Paracheirodon innesi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Neonsalmler_Paracheirodon_innesi.jpg/120px-Neonsalmler_Paracheirodon_innesi.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
366,Nile perch,Lates niloticus,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Lates_niloticus_1923.jpg/120px-Lates_niloticus_1923.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
367,Nile tilapia,Oreochromis niloticus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Oreochromis-niloticus-Nairobi.JPG/120px-Oreochromis-niloticus-Nairobi.JPG,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
369,Northern snakehead,Channa argus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Northern_snakehead.jpg/120px-Northern_snakehead.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
378,Okefenokee pygmy sunfish,Elassoma okefenokee,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Elassoma_okefenokee_male.png/120px-Elassoma_okefenokee_male.png,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
382,Orinoco peacock bass,Cichla orinocensis,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Pesca_Esportiva_na_Amaz%C3%B4nia_16.JPG/120px-Pesca_Esportiva_na_Amaz%C3%B4nia_16.JPG,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
383,Orinoco sailfin catfish,Pterygoplichthys multiradiatus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Liposarcus_multiradiatus_01_ssj_20050321.jpg/120px-Liposarcus_multiradiatus_01_ssj_20050321.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
